Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010
Madagascar,CAIT,Total including LUCF,CO2,MtCO₂e,13.49,13.61,13.33,13.43,13.15,13.03,12.85,12.3,23.91
Croatia,CAIT,Total including LUCF,CO2,MtCO₂e,12.24,13.14,12.59,15.18,14.84,15.54,15.96,17.54,18.63
Suriname,CAIT,Total including LUCF,CO2,MtCO₂e,11.44,11.49,11.67,11,10.89,10.54,10.69,10.2,5.71
Gabon,CAIT,Total including LUCF,CO2,MtCO₂e,11.08,11.15,12.16,11.93,11.95,12.15,12.27,12.09,7.95
Lithuania,CAIT,Total including LUCF,CO2,MtCO₂e,10.95,10.6,10.59,4.98,4.78,5.27,5.86,5.78,12.64
Kenya,CAIT,Total including LUCF,CO2,MtCO₂e,10.78,11.27,11.15,25.38,23.32,22.39,20.42,21.33,27.75
Equatorial Guinea,CAIT,Total including LUCF,CO2,MtCO₂e,10.51,9.46,9.43,10.97,11.92,13.18,13.84,13.54,13.35
South Sudan,CAIT,Total including LUCF,CO2,MtCO₂e,10.28,10.44,10.67,8.51,8.07,8.02,7.99,6.95,7.17
Malawi,CAIT,Total including LUCF,CO2,MtCO₂e,9.71,9.65,9.5,9.34,9.24,9.39,9.3,9.32,9.22
Georgia,CAIT,Total including LUCF,CO2,MtCO₂e,9.46,9.63,9.65,9.2,8.47,7.84,7.19,6.52,1.81
Yemen,CAIT,Total including LUCF,CO2,MtCO₂e,9.31,10.06,10.88,14.21,26.71,26.35,19.68,20.69,23.99
Luxembourg,CAIT,Total including LUCF,CO2,MtCO₂e,9.04,8.72,8.58,8.89,9.41,9.91,10.45,10.69,10.54
Moldova,CAIT,Total including LUCF,CO2,MtCO₂e,8.7,8.26,8.25,7.57,7.27,6.73,7.69,7.9,7.29
Jamaica,CAIT,Total including LUCF,CO2,MtCO₂e,8.69,7.37,7.93,7.53,7.64,7.82,7.35,7.83,5.05
El Salvador,CAIT,Total including LUCF,CO2,MtCO₂e,7.89,7.46,8.25,8.08,7.67,7.54,7.85,7.86,7.62
Kyrgyzstan,CAIT,Total including LUCF,CO2,MtCO₂e,7.73,6.08,6.43,9.53,8.97,8.64,9.32,6.88,6.34
Afghanistan,CAIT,Total including LUCF,CO2,MtCO₂e,7.59,7.53,7.55,7.74,7.56,8.27,10.2,12.02,8.79
Brunei,CAIT,Total including LUCF,CO2,MtCO₂e,7.47,7.03,6.79,6.35,7.37,7.36,7.48,7.36,8.11
Macedonia,CAIT,Total including LUCF,CO2,MtCO₂e,7.37,7.86,7.39,7.48,7.78,8.24,9.13,9.64,8.73
Bulgaria,CAIT,Total including LUCF,CO2,MtCO₂e,7.32,10.24,7.94,32.57,30.12,27.7,33.01,37.56,21.29
Tajikistan,CAIT,Total including LUCF,CO2,MtCO₂e,7.2,6.25,5.83,4.36,4.07,2.76,2.59,2.14,2.07
Cyprus,CAIT,Total including LUCF,CO2,MtCO₂e,6.98,7.05,6.9,6.46,6.43,6.07,6.7,7.23,7.55
Belize,CAIT,Total including LUCF,CO2,MtCO₂e,5.92,5.88,5.87,6.13,5.96,5.97,6.16,6.11,3.81
Mali,CAIT,Total including LUCF,CO2,MtCO₂e,5.62,5.05,4.42,3.41,3.12,3.05,3.11,3.12,2.78
Armenia,CAIT,Total including LUCF,CO2,MtCO₂e,5.59,5.36,5.1,5.26,5.4,5.42,5.64,4.86,4.46
Albania,CAIT,Total including LUCF,CO2,MtCO₂e,5.32,5.37,4.7,4.23,4.37,3.95,3.74,4.2,3.46
Latvia,CAIT,Total including LUCF,CO2,MtCO₂e,4.85,4.33,4.37,4.64,4.6,4.8,4.92,5.24,-5.28
Uruguay,CAIT,Total including LUCF,CO2,MtCO₂e,4.75,4.31,4.76,-0.31,-0.4,0.46,1.62,0.71,-3.69
Sierra Leone,CAIT,Total including LUCF,CO2,MtCO₂e,4.36,4.31,4.31,4.28,4.52,4.41,4.24,4.11,3.94
Mauritius,CAIT,Total including LUCF,CO2,MtCO₂e,4.11,4.15,4.01,3.97,3.96,3.82,3.73,3.64,3.75
